DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.5000481,0.08726216,-1.1086626,0.2715099,-0.39659423,-0.22803661,-0.79310095,0.3924441,-0.6317027,-0.29897612,-0.09684153,-0.030074837,-0.18911073,-0.055689324,0.04687206,0.23010129,0.058392074,0.7210273,0.11844233,0.15489323,-1.2861173,-0.41221723,-1.2636886,-0.04234026,-0.24126756,-0.029749485,0.67752695,-0.17544308,-0.01988462,-0.5608361,-0.1737464,-0.6676363,-0.9446822,0.18100005,-0.23131949,-0.31927308,0.18424356,-0.47160643,-0.3629267,-0.089514464,-0.026331618,-0.074824356,-0.14185339,-0.048397534,-0.48624304,-0.087021284,0.49319693,0.16901079,0.3167787,-0.17953719,-0.8805411,-0.36176285,-0.6184567,-0.1798878,0.47993767,0.55227035,-0.035480976,0.09411883,-0.450961,-0.020067723,-0.20527215,-0.09478379,0.050055202,0.100060746,-0.18779264,-0.37820002,-0.040516373,-0.13993602,-0.58531,1.0057516,-0.5656479,0.026074164,0.59263617,0.5593835,1.0589699,0.99780643,1.0641308,-0.43016025,-1.1716719,1.8075988,1.1106939,-0.9298272,0.9764654,-1.1690286,-0.7734332,-1.3107752,-1.3578967,-1.6168545,-0.10971215,1.4037156,0.21324107,0.17071623,0.16260001,0.068972826
19870227,0.6772841,0.22219118,-1.2835793,0.27048096,-0.49295858,-0.23953909,-0.77998155,0.59041584,-0.6109888,-0.26064473,-0.061348118,0.05390227,-0.11628935,0.025711188,0.16036598,0.38788587,0.22164086,0.88024694,0.23678756,0.25076765,-1.4671445,-0.35540783,-1.3545432,0.08347865,-0.19009037,0.09304483,0.8263692,-0.06554668,0.11716481,-0.69216913,-0.09004263,-0.73241305,-1.0232048,0.31988728,-0.17135373,-0.23336735,0.28390822,-0.42037264,-0.2737177,-0.03895581,-0.024889136,-0.042301025,-0.082832076,0.01854347,-0.43691957,0.029698748,0.65263015,0.25667176,0.42181268,-0.19716841,-0.90979904,-0.3706607,-0.6400174,-0.16767016,0.5455548,0.68951005,0.08008364,0.20252189,-0.5011866,0.09771994,-0.14985938,-0.01329626,0.18864459,0.19840623,0.098068245,-0.32496285,0.062741816,0.021711903,-0.43816167,1.0606852,-0.44007003,0.18084493,0.66721857,0.219995,1.1335444,1.2734014,1.372488,-0.33313853,-1.2851789,2.0707445,1.131057,-1.0890583,1.297605,-1.4307005,-0.26713514,-1.3730234,-1.4226614,-1.7272968,0.030030794,1.5865319,0.52825433,0.44108927,0.4077168,0.1359115
19870331,0.38668025,-0.124392316,-1.1961392,0.7446536,-0.16243866,-0.023656268,-1.1402444,0.064266734,-0.8651787,-0.40260985,-0.120159365,-0.39395267,-0.57056105,-0.35581398,0.056587335,-0.022429483,-0.17431079,0.69486105,0.024328843,0.055343907,-1.2361814,-0.90468824,-1.5325298,-0.41186187,-0.53485775,-0.44183835,0.7537778,-0.6587803,-0.4480295,-0.34822404,-0.5433295,-0.9913457,-1.3441479,0.27367598,-0.35966367,-0.40915403,0.2998469,-0.5826446,-0.44636542,-0.10036837,-0.02428559,-0.19852394,-0.1364275,-0.20975727,-0.68303496,-0.27134827,0.3467553,0.064309746,0.14065,-0.19797003,-1.2938261,-0.26523033,-0.6559974,-0.18830879,0.6920168,0.66150457,-0.49283993,0.020395715,-0.17065248,-0.1958031,-0.37620366,-0.16166863,-0.20277429,-0.24217911,-0.19579916,-0.37825617,-0.4265846,-0.32206717,-1.0135695,0.9993849,-0.93065,-0.2050469,0.5703098,0.024678176,1.404917,0.1438358,0.22294079,-0.24942775,-2.0271175,1.7576056,1.438906,-1.0380139,0.6669697,-1.6109735,-0.50604665,-1.8375676,-1.3808473,-2.2965686,0.07834598,1.0038077,0.8894398,-0.3316654,-0.5981272,0.6605973
19870430,0.35041738,-0.21572791,-1.0776442,0.9248568,0.032272283,0.09661545,-1.2448682,-0.17722629,-0.9008766,-0.39536065,-0.090802275,-0.5676338,-0.73909616,-0.46151853,0.09034641,-0.15011531,-0.30025417,0.5953239,-0.021558143,-0.006558664,-1.0110066,-1.0920521,-1.4889803,-0.5693649,-0.6075262,-0.586425,0.6175802,-0.8916469,-0.6399459,-0.07342969,-0.6792977,-1.0225805,-1.4057811,0.32995242,-0.33334503,-0.5060747,0.30567288,-0.57150894,-0.53292036,-0.061627295,-9.8914556e-05,-0.22596261,-0.09012966,-0.28431487,-0.7579501,-0.36699605,0.19324322,0.0059953784,-0.0029576945,-0.12797773,-1.3153374,-0.10957865,-0.5762463,-0.12346596,0.7259379,0.58087987,-0.67997336,-0.033133548,0.09255622,-0.28940576,-0.4526674,-0.21478236,-0.3333479,-0.38450173,-0.106910534,-0.39685377,-0.6101185,-0.28843892,-1.1027544,0.9274263,-1.0119464,-0.33142617,-0.016404353,-0.04061697,1.45019,-0.40775263,-0.3282695,-0.53678966,-2.2862358,1.4672501,1.6821793,-0.54989415,0.44852725,-1.5019964,-0.44215006,-1.8908461,-1.4246176,-2.4068208,0.23113158,0.79689014,1.0971386,-0.626965,-1.0587275,1.0040749
19870529,0.21070328,-0.22078647,-0.7541733,0.74916476,0.009963414,0.077942535,-0.89366734,-0.18924066,-0.6914362,-0.34669214,-0.08410494,-0.51599544,-0.60369617,-0.3938114,0.07764965,-0.17196728,-0.24958871,0.43920648,-0.0046524685,0.022263959,-0.73483443,-0.83239365,-1.0820093,-0.41217667,-0.49482012,-0.50674367,0.45818228,-0.6997454,-0.56162035,-0.038437072,-0.57566917,-0.80548453,-1.0200038,0.26866317,-0.30514577,-0.3850408,0.20846418,-0.47821605,-0.39392686,-0.046982363,-0.014021057,-0.21903902,-0.07131578,-0.24235441,-0.5671119,-0.31703675,0.15177788,-0.013360278,-0.055943754,-0.08738069,-0.9743431,-0.05893157,-0.45474768,-0.06856096,0.5766564,0.4748439,-0.5681668,-0.0077040363,0.1271595,-0.24824119,-0.3650221,-0.13304934,-0.31801054,-0.38407663,-0.24238464,-0.31831965,-0.53235877,-0.2708264,-0.86514735,0.6924252,-0.8188098,-0.26280993,-0.097711705,-0.06205616,0.88169265,-0.3818647,-0.31201506,-0.1575736,-1.6712292,1.0545712,1.2227619,-0.3786376,0.22296956,-1.0829728,-0.4764772,-1.316799,-0.8784122,-1.7529733,0.15508725,0.47506562,0.87937903,-0.49411082,-0.81084687,0.76105773
19870630,0.17295803,-0.20147456,-0.5703242,0.6971877,0.058562387,0.112366095,-0.698865,-0.20568454,-0.52537495,-0.26606563,-0.049275823,-0.44838727,-0.50367624,-0.34249118,0.09275936,-0.1990565,-0.21543959,0.37089005,0.020212682,0.027357826,-0.5918079,-0.7088837,-0.84746635,-0.33982676,-0.4182076,-0.4380576,0.3818381,-0.5799263,-0.5004157,0.041017015,-0.490452,-0.6551765,-0.8298345,0.27110618,-0.20409901,-0.31695923,0.19372815,-0.35573542,-0.32257965,-0.034532115,0.008684801,-0.15714493,-0.04685302,-0.20506147,-0.45034602,-0.28760314,0.0930384,-0.01835347,-0.08454864,-0.027577225,-0.76421744,0.0033304908,-0.33876124,-0.01379744,0.5343002,0.4241154,-0.5158348,0.0138235595,0.18231273,-0.20418578,-0.2919035,-0.08706644,-0.28547448,-0.29913816,-0.22397664,-0.2253659,-0.4706503,-0.2608872,-0.63789296,0.539525,-0.60663956,-0.19283576,-0.07159718,-0.085475184,0.8018147,-0.49460155,-0.4332158,-0.09668273,-1.4536649,0.80311686,1.1586034,-0.06654866,0.09376194,-0.8056803,-0.35861146,-1.0628425,-0.671881,-1.4857317,0.14566712,0.34190232,0.6844821,-0.46561542,-0.80237883,0.72865266
19870731,0.07110655,-0.27737638,-0.50608784,0.664887,0.0819688,0.124826856,-0.6991994,-0.32000145,-0.4882206,-0.31819025,-0.050016247,-0.5782335,-0.45690215,-0.39553797,-0.25821835,-0.23526806,-0.24156824,0.30560505,0.01923777,0.025138076,-0.47735393,-0.7533758,-0.7608876,-0.38745382,-0.452632,-0.50988936,0.3412172,-0.58800364,-0.55190265,0.08233779,-0.5225086,-0.6899214,-0.8264137,0.28093362,-0.15053555,-0.31496203,0.15371475,-0.339121,-0.33298796,-0.055929117,0.024401136,-0.25828105,-0.08822893,-0.23424153,-0.52451557,-0.30875126,0.10924435,-0.0013828529,-0.08906304,-0.049174927,-0.733896,0.054253943,-0.36133996,0.016425822,0.4699518,0.38974264,-0.5259635,-0.003720965,0.23949257,-0.17016031,-0.3267924,-0.19811483,-0.30908158,-0.37686652,-0.29131228,-0.21899493,-0.50039065,-0.2660108,-0.64090276,0.46991274,-0.6251513,-0.20769598,0.2752696,-0.1246325,0.751312,-0.60043806,-0.5587399,-0.14214493,-1.4402881,0.65792763,0.98506355,0.15808022,-0.01235514,-0.7843343,-0.51020616,-1.0158486,-0.60319746,-1.4565258,0.12559766,0.2801603,0.6119521,-0.4903823,-0.83428645,0.71359265
19870831,0.13881768,-0.17468514,-0.3539572,0.5376346,0.09331905,0.15256248,-0.52644145,-0.20695534,-0.32265985,-0.20473391,0.044193786,-0.4123549,-0.29873657,-0.25172463,-0.14730595,-0.16105647,-0.10796421,0.31632504,0.07583082,0.07730939,-0.33816174,-0.52871025,-0.5621687,-0.2424169,-0.3243842,-0.34346828,0.32065323,-0.39621866,-0.393055,0.09845219,-0.35103142,-0.5045491,-0.6047957,0.2871559,-0.055148195,-0.19257309,0.17546833,-0.20334396,-0.1941357,0.013024564,0.06613681,-0.12177624,-0.013703073,-0.13921471,-0.36094207,-0.17471552,0.12693383,0.054166183,-0.008164988,0.0060209,-0.5433717,0.08589666,-0.23460394,0.05196379,0.4310232,0.3474559,-0.33933014,0.044584658,0.20426938,-0.0807507,-0.22816887,-0.093251556,-0.16043152,-0.19394024,-0.121277586,-0.016561592,-0.32433078,-0.09256332,-0.42162192,0.43170094,-0.41958055,-0.010258086,0.29582655,0.275958,0.6868124,-0.46512324,-0.41935387,0.07315644,-1.1544856,0.58768004,0.9179377,-0.08615658,0.14055768,-0.64405245,-0.28098166,-0.7890983,-0.4493271,-1.1424571,0.18648252,0.28990307,0.5629506,-0.33230692,-0.6575525,0.63688105
19870930,0.08965784,-0.180589,-0.3153334,0.5657589,0.1185755,0.16821103,-0.4954358,-0.19887742,-0.29939467,-0.1792433,0.017334871,-0.42005277,-0.2816504,-0.23852749,-0.13442078,-0.16688895,-0.08969333,0.27809584,0.0772113,0.075238325,-0.30834424,-0.5333813,-0.53320014,-0.22762293,-0.29754823,-0.3254444,0.32743666,-0.3905908,-0.3822483,0.122220695,-0.3342959,-0.45539662,-0.5717965,0.29563177,-0.04454347,-0.18069208,0.17253664,-0.19759901,-0.17802997,-0.0024138596,0.049050327,-0.1405671,-0.020797282,-0.1284807,-0.35533193,-0.14840564,0.13584715,0.05257262,-0.024337912,0.028474016,-0.50713515,0.09651461,-0.20315784,0.06572442,0.41832379,0.34548458,-0.3545148,0.053884894,0.22684613,-0.055409104,-0.20900372,-0.06837416,-0.14008418,-0.20786904,-0.08968277,0.0139303515,-0.3170637,-0.10785061,-0.44699842,0.38364583,-0.43523732,-0.03843042,0.20723034,0.2568968,0.60745525,-0.48016903,-0.4227564,0.06528261,-1.0728403,0.5085407,0.8458849,0.09556521,-0.017511796,-0.4590105,-0.4109202,-0.7395606,-0.253224,-1.058477,0.15656689,0.19242871,0.6136919,-0.36663952,-0.6569242,0.6150169
19871030,-0.050020892,-0.3062153,-0.19612944,0.72287697,0.24620363,0.233027,-0.51010275,-0.37532878,-0.2771285,-0.17568819,0.03428775,-0.5207859,-0.38020617,-0.39721248,-0.13521464,-0.33505818,-0.21923381,0.11897154,0.04376171,0.03714235,-0.1690139,-0.6630038,-0.4942203,-0.35048494,-0.39387175,-0.48468858,0.21795169,-0.5512499,-0.5691585,0.29877687,-0.49982136,-0.43897784,-0.58899754,0.24418776,-0.07755064,-0.22726676,0.15036818,-0.21062067,-0.21374376,0.04364098,0.061595295,-0.20580986,0.02295568,-0.20958555,-0.3676911,-0.23517546,-0.004330094,-0.038155705,-0.16035527,0.04506586,-0.5324251,0.16822466,-0.11760289,0.07060241,0.4575029,0.29294556,-0.56757843,0.03461934,0.36838815,-0.13181917,-0.24668416,-0.05251197,-0.28134993,-0.25071418,-0.09088079,0.05086003,-0.4520797,-0.14136384,-0.544018,0.23426993,-0.5009903,-0.18536115,0.13518323,0.10007212,0.5420073,-0.95706624,-0.92704636,0.15233196,-1.2164555,0.15188324,0.79251367,-0.13642779,-0.35909584,-0.49855515,-0.26659137,-0.74135184,-0.2708495,-1.0585574,0.22033417,-0.18601404,0.63730145,-0.6358367,-1.0004011,0.8217942
