DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.31297418,-0.20076878,-0.7378453,0.1657045,-0.87573045,-0.55934125,-1.0100347,0.28253528,-0.4045096,-0.5886601,-0.23200409,0.108209796,-0.05982269,-0.37961113,0.050413474,0.3482484,0.22999611,0.8842765,-0.055527095,0.124318704,-1.0024712,-0.4508431,-1.2006087,-0.24874192,-0.42842436,-0.29372132,0.46850255,-0.08514162,-0.27682066,-0.55166936,-0.14719582,-0.35702157,-0.81880766,0.20939294,-0.16439165,-0.39897233,0.05615503,-0.38861418,-0.37747893,-0.04682626,-0.08637087,-0.20110069,-0.051286995,-0.33131346,-0.6389334,0.15212515,0.85348487,0.3672999,0.6679688,-0.5374556,-0.85885835,-0.5995702,-0.7777066,-0.37839055,-0.452596,-0.15881449,0.043734625,0.026732821,-0.7344711,0.009668455,-0.2138358,-0.13139257,0.370594,0.42916897,-0.09712935,-0.48873425,-0.19909385,0.12307637,-0.4009689,0.9144307,-0.36567453,-0.020066697,0.53392494,0.48096815,0.53296906,1.7586437,1.8269782,-0.81876355,-0.24623896,2.025245,-0.31365672,-0.44225135,0.8716789,-0.5326534,-0.5147671,-0.9788303,-0.9252188,-0.5398838,-0.61359847,1.2556449,-1.0639868,0.4875114,0.76942617,-1.2050025
19870227,0.74288696,0.17041269,-0.890598,0.1423902,-1.0306323,-0.63974047,-0.6563229,0.70937485,-0.3084035,-0.23435543,-0.043183614,0.2554015,0.09658571,-0.037386432,0.2556548,0.41895604,0.59576184,1.2382071,0.3645128,0.40876523,-1.2224146,-0.13567036,-1.1405408,0.08770596,-0.1553867,-0.038068097,0.7792288,0.10637489,0.0027068628,-0.9182523,0.017879276,-0.43549922,-0.6892998,0.6927267,0.034736015,-0.08364818,0.3161787,-0.22734287,-0.09071525,0.17494325,0.09238299,0.02882628,0.1375416,-0.054341506,-0.3042172,0.38890803,1.3190435,0.6096845,0.9621256,-0.4735226,-0.635181,-0.41366994,-0.7328188,-0.19250177,-0.0740527,0.10197309,0.26058355,0.31607562,-0.89083457,0.3990842,0.0054745954,0.12105077,0.64403373,0.51873064,0.29159564,-0.18657756,0.020818578,0.24828982,-0.12405002,1.1496084,-0.10820679,0.32689357,0.75660443,0.46233737,0.6970574,1.7033881,1.7896814,-0.28137997,-0.4801764,2.0806541,0.10976575,-0.62975967,1.1417887,-0.57533044,-0.07613088,-0.7163474,-0.86318445,-0.7633626,-0.35466665,1.4719493,-0.3949253,0.79155016,0.8924023,-0.8858529
19870331,0.38137895,-0.21924096,-0.96670073,0.7321759,-0.5314282,-0.35164478,-1.0089986,0.19649827,-0.64097553,-0.4288329,-0.24045967,-0.29567468,-0.37508637,-0.4325939,-0.089582734,-0.012786534,0.0857741,0.90781265,0.074439734,0.13922265,-1.0756869,-0.75467676,-1.3470843,-0.4554483,-0.5721135,-0.5395046,0.6969968,-0.48116085,-0.5011305,-0.6253237,-0.4867157,-0.8166675,-1.1417376,0.3077448,-0.33894852,-0.3660209,0.27551082,-0.4980766,-0.3379115,-0.07206378,-0.08502058,-0.25241172,-0.1007295,-0.3449881,-0.63456255,-0.03781502,0.7817864,0.30712196,0.522536,-0.46852255,-1.0667301,-0.4745508,-0.78870267,-0.39986107,0.25086838,0.1710919,-0.36460868,0.037932992,-0.61280626,0.037162352,-0.3361361,-0.17391376,0.19692884,-0.10479171,-0.15319218,-0.36695677,-0.5179394,-0.202161,-0.7990186,1.0638971,-0.75158286,-0.22784115,0.61987317,0.16699278,1.191416,0.7985414,0.8615047,-0.10178549,-1.1370405,1.9645854,1.0946164,-0.76546293,0.87685883,-0.8858045,-0.40124157,-1.2455734,-0.7415243,-1.3934399,-0.24107775,1.2305245,0.3401143,0.14582445,0.18058442,0.09512455
19870430,0.23540907,-0.32329702,-0.8838576,0.8497729,-0.28803563,-0.21716927,-0.93712026,-0.00829695,-0.6115127,-0.3718491,-0.2316308,-0.4392771,-0.5070853,-0.49620193,-0.14965312,-0.15029947,-0.031488374,0.7055616,0.013243144,0.055041544,-0.84012353,-0.81066185,-1.1701965,-0.53755486,-0.58441967,-0.6300238,0.50511247,-0.64054465,-0.609691,-0.37314183,-0.5889007,-0.8503123,-1.117196,0.2739141,-0.40277222,-0.3758325,0.2286481,-0.44208953,-0.36247554,-0.10003418,-0.106364846,-0.26955003,-0.12190209,-0.42549023,-0.626023,-0.1605958,0.56298685,0.27777913,0.34426272,-0.37729192,-0.97527695,-0.35802045,-0.6569564,-0.3505647,0.25850734,0.04047195,-0.5245602,-0.044070564,-0.3620637,-0.07711913,-0.36523524,-0.23646714,0.016099045,-0.19732897,-0.12575224,-0.34758314,-0.6456969,-0.24515744,-0.7798337,0.9153225,-0.7408999,-0.2834465,0.12621273,0.09326546,1.0548986,0.38997832,0.42991504,-0.14108625,-1.2243967,1.5821711,1.1678132,-0.26964125,0.6368188,-0.6649772,-0.41227812,-1.2328373,-0.54534644,-1.4117149,-0.067276426,1.0118959,0.46507046,-0.07958591,-0.06246382,0.33989957
19870529,0.15451175,-0.3750442,-0.80329174,0.9066749,-0.22522914,-0.17414525,-0.88337094,-0.1121033,-0.6154644,-0.39219373,-0.2705378,-0.49948892,-0.5495081,-0.5312431,-0.17038415,-0.2298254,-0.11393387,0.59603786,0.008673044,0.056858737,-0.7381176,-0.8297557,-1.0679446,-0.5954008,-0.6074024,-0.6881715,0.40206757,-0.67359877,-0.6734133,-0.2889914,-0.63473725,-0.8198104,-1.0567526,0.19760172,-0.43773702,-0.37262064,0.21470234,-0.47265825,-0.3470604,-0.12737234,-0.14919654,-0.30977434,-0.14036916,-0.43799096,-0.63624567,-0.22177212,0.49714398,0.23808798,0.21809071,-0.34472084,-0.9341837,-0.35084248,-0.59951466,-0.35344857,0.3107828,0.083817296,-0.6035438,-0.044150203,-0.30057758,-0.1303907,-0.38898137,-0.27612892,-0.082057595,-0.33782613,-0.20982751,-0.36592194,-0.71133107,-0.28216177,-0.8124448,0.8554326,-0.80019885,-0.37191525,0.017263085,0.059662975,0.7667295,0.22052938,0.26778743,0.08203473,-1.1498984,1.3559059,1.0295416,-0.28599885,0.39943945,-0.6159713,-0.5417232,-1.1334026,-0.34347737,-1.301332,-0.043171674,0.69662803,0.4960688,-0.20846954,-0.15231535,0.42634964
19870630,0.06725243,-0.37223938,-0.6446475,0.80038166,-0.072617576,-0.077585004,-0.75079924,-0.15432872,-0.487433,-0.33537737,-0.237462,-0.46868625,-0.4925131,-0.48588413,-0.17241316,-0.23866029,-0.1285979,0.4159875,-0.030609984,0.024991924,-0.5581817,-0.72397834,-0.86135554,-0.5428035,-0.5469412,-0.60985774,0.2913937,-0.5932458,-0.61267143,-0.10456738,-0.5707071,-0.6918246,-0.9009381,0.12090546,-0.37850922,-0.3328965,0.15526834,-0.39530343,-0.30033976,-0.12836063,-0.12635972,-0.27382645,-0.13245405,-0.4077099,-0.56837493,-0.23716371,0.29676747,0.15156984,0.10068902,-0.25775784,-0.7895389,-0.26774555,-0.46489963,-0.3004548,0.26033708,0.070801795,-0.56390643,-0.06672707,-0.13970338,-0.15688896,-0.3399114,-0.25930998,-0.11382381,-0.2845954,-0.24645759,-0.3315195,-0.6628988,-0.28364867,-0.67393094,0.62313306,-0.6656771,-0.28173196,-0.008921645,-0.010096875,0.614616,0.044274848,0.085487165,0.12764372,-1.0017654,0.9995183,0.8746128,-0.079057984,0.24711615,-0.46378207,-0.4418195,-0.9455897,-0.20556593,-1.1086799,-0.071131065,0.53137106,0.2928014,-0.23919779,-0.21312025,0.37011424
19870731,-0.055299073,-0.56248564,-0.7466465,1.1060147,-0.033025146,-0.035927817,-0.9090397,-0.3191778,-0.51822495,-0.43834287,-0.296307,-0.7149021,-0.552234,-0.66731906,-0.48029777,-0.31661937,-0.21666165,0.42910585,-0.040109422,0.04047284,-0.5027305,-0.93316454,-0.94862777,-0.74008036,-0.68216366,-0.7871234,0.31699234,-0.7204139,-0.77383256,-0.10293774,-0.708614,-0.8728848,-1.0762826,0.08478393,-0.3618221,-0.37405056,0.21589223,-0.42865518,-0.36467877,-0.17985745,-0.13355827,-0.41968432,-0.20474903,-0.55089,-0.7245995,-0.3064716,0.32889715,0.21780507,0.11343215,-0.32784754,-0.9630971,-0.38971838,-0.5264954,-0.33230415,0.25028825,0.043921895,-0.7110288,-0.12440384,-0.15959649,-0.23244245,-0.4892539,-0.4129658,-0.1903635,-0.48034993,-0.38219362,-0.41265756,-0.8120762,-0.32793316,-0.8264487,0.7571072,-0.839318,-0.45788282,0.37382004,-0.03555479,0.7505236,-0.030527538,0.017448533,0.27509636,-1.1917169,1.2224052,0.9496814,0.21617793,0.23561896,-0.46422186,-0.687891,-1.1287603,-0.0121981725,-1.3058996,-0.044931304,0.6325911,0.27650678,-0.35124302,-0.34305894,0.492271
19870831,0.016331643,-0.34582,-0.5529572,0.7686058,-0.003081132,0.012658824,-0.60646373,-0.16589004,-0.3075689,-0.25514007,-0.14991723,-0.44843987,-0.32077917,-0.4213776,-0.2930778,-0.20650014,-0.07496887,0.3762879,0.010039103,0.06693911,-0.3292793,-0.58131015,-0.6103166,-0.46199578,-0.44125786,-0.52852285,0.27369952,-0.44346392,-0.5041809,-0.073467456,-0.44541258,-0.5871343,-0.7053848,0.1236842,-0.220866,-0.20547025,0.19628659,-0.24798791,-0.18783669,-0.0665043,-0.049573436,-0.2193714,-0.0869122,-0.35045657,-0.45351776,-0.15703148,0.26681313,0.21251035,0.14236672,-0.20578429,-0.6371075,-0.28257754,-0.3366341,-0.21630922,0.1740061,0.029889287,-0.42020464,-0.045099992,-0.12276515,-0.10972388,-0.32336676,-0.20676775,-0.0844727,-0.21532843,-0.17609593,-0.13551731,-0.48092517,-0.11172878,-0.46221107,0.5038792,-0.46923244,-0.09753517,0.2552354,0.21841738,0.5592961,0.004779494,0.050924554,0.19284582,-0.81187886,0.91143036,0.67141044,-0.029790122,0.32657108,-0.32671016,-0.34289244,-0.7487504,-0.088385664,-0.8762922,0.047964096,0.52217495,0.18583657,-0.15093884,-0.14925891,0.31373867
19870930,-0.024993775,-0.34803802,-0.49403417,0.76409954,0.020341963,0.039787885,-0.594521,-0.18489352,-0.30097476,-0.24024026,-0.1514937,-0.46494457,-0.34797448,-0.39803973,-0.25961587,-0.20494798,-0.09422964,0.3029825,-0.004200252,0.035807326,-0.30137125,-0.5917437,-0.6043497,-0.45385265,-0.436508,-0.5209086,0.2670076,-0.4595905,-0.51198864,-0.029964246,-0.44594827,-0.5573694,-0.6862485,0.10346571,-0.18652831,-0.19311528,0.17779858,-0.26066115,-0.17331794,-0.077079006,-0.052898396,-0.22625844,-0.095463425,-0.34948778,-0.45927033,-0.16322547,0.23525305,0.18385035,0.083026215,-0.18267398,-0.61444044,-0.24706626,-0.2965361,-0.19149369,0.20117532,0.074787006,-0.44986042,-0.052321993,-0.07369904,-0.11889106,-0.33134508,-0.19916353,-0.105393626,-0.26793665,-0.16316314,-0.12936899,-0.52255285,-0.1378988,-0.5022251,0.5098656,-0.5065802,-0.15569043,0.21326521,0.26837745,0.47313112,-0.06953866,-0.01399102,0.12812534,-0.7994001,0.79866946,0.6423021,0.19767147,0.11134829,-0.26483548,-0.47791407,-0.74923456,-0.05468457,-0.85831964,0.0018933447,0.3490701,0.2767867,-0.23425299,-0.22123796,0.3460989
19871030,-0.1679885,-0.45507032,-0.44900033,0.8510471,0.17182674,0.10279638,-0.5586844,-0.37785062,-0.29369393,-0.22062421,-0.19578922,-0.57443875,-0.49625024,-0.51737136,-0.3291862,-0.34935275,-0.25056297,0.059869293,-0.06694987,-0.034654476,-0.2314366,-0.6880704,-0.5607081,-0.539683,-0.5038506,-0.60318077,0.14929162,-0.6238327,-0.62771386,0.1350901,-0.5851686,-0.58493716,-0.70073533,0.0033169547,-0.25600025,-0.21456549,0.12668882,-0.30090207,-0.19168723,-0.05440151,-0.07914298,-0.3135614,-0.069993705,-0.4224187,-0.4802256,-0.2963049,0.026444435,0.048747815,-0.11807307,-0.13327986,-0.5984407,-0.19150302,-0.2121334,-0.18859376,0.29757845,0.11475685,-0.6148812,-0.09712639,0.08326165,-0.22164778,-0.38973728,-0.27994415,-0.30613965,-0.37863025,-0.20044753,-0.1121644,-0.6418549,-0.22769794,-0.59596163,0.29389346,-0.5741322,-0.3281469,0.06504513,0.02605202,0.42703405,-0.54298127,-0.51098865,0.12467051,-0.97962636,0.31827492,0.6671846,-0.29721284,-0.23127982,-0.35470518,-0.415635,-0.7729579,-0.20363814,-0.94811463,0.08108112,-0.024650976,0.32385957,-0.52512413,-0.59904295,0.5986753
