DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.9362329,0.07428201,-1.6304942,0.76696944,-0.49509618,-0.10478748,-1.3476017,0.5192614,-0.8918526,-0.5259241,-0.001215638,-0.06808666,-0.34576657,-0.20226325,0.11261494,0.25438488,0.41722798,1.4428409,0.55364364,0.693742,-1.7476065,-0.8768802,-1.8401536,-0.10468867,-0.5784831,-0.39491698,1.3923656,-0.4847586,-0.32507175,-0.40646368,-0.36895177,-1.2045858,-1.4387738,0.88446414,-0.22178817,-0.4531851,0.7592084,-0.64555067,-0.48979402,0.07442314,0.3227683,-0.14623944,0.024201963,-0.22508453,-0.65419734,0.095049486,0.77905947,0.32503384,0.6801354,-0.11661822,-1.4546217,0.045578387,-0.78388,0.0065969834,1.6498768,1.1732235,-0.29840946,0.45932716,-0.11060201,0.28629217,-0.4350511,-0.3274844,0.34411153,0.24530634,-0.12868452,-0.41440892,-0.43124637,-0.16007495,-0.9693872,1.8439678,-0.88665336,-0.14256509,1.1125486,1.0741173,2.199764,1.169467,1.2137073,-0.7878471,-1.8477138,2.3344135,2.6081336,-1.0666493,1.2910814,-1.3289541,-0.99816036,-1.719947,-1.7683941,-2.3741531,0.059598025,1.8813456,1.4838051,0.35241714,0.2734638,1.48806
19870227,0.9918919,0.08082539,-1.51231,0.6482668,-0.5067355,-0.1568412,-1.1551253,0.615324,-0.78508997,-0.50176513,-0.049268495,-0.08468794,-0.33619508,-0.2105702,0.12907602,0.25654668,0.5146174,1.5540925,0.53511274,0.59492713,-1.615443,-0.76622957,-1.5908521,-0.067826726,-0.53313166,-0.35381716,1.4264444,-0.44988984,-0.27915666,-0.42481402,-0.34075007,-1.136138,-1.3022851,0.8990296,-0.21387888,-0.38128936,0.7332039,-0.5576153,-0.3999761,0.062190007,0.15101591,-0.20148736,0.016904633,-0.23722126,-0.60616475,0.13462879,0.8588242,0.29389998,0.7901921,-0.19110107,-1.2870265,0.046486914,-0.72437674,-0.04251004,1.6336085,1.264708,-0.31478387,0.4200578,-0.11293121,0.35290045,-0.42943326,-0.30214038,0.38256449,0.2954894,0.2925549,-0.31533778,-0.40321532,-0.086204596,-0.7748178,1.8839877,-0.71390593,-0.047226004,1.2766682,0.47015458,2.1476622,1.3013872,1.3902402,-0.61924106,-1.7089686,2.6239078,2.4330623,-1.0539632,1.6461873,-1.3167522,-0.16740596,-1.5395421,-1.4961792,-2.074331,0.1629017,1.9586053,1.8056617,0.42482638,0.3627501,1.3418663
19870331,0.5497867,-0.23720264,-1.6466885,0.8119013,-0.36557046,-0.101043046,-1.3951589,0.14260408,-0.9675808,-0.6705427,-0.1609033,-0.3433093,-0.61771995,-0.5005973,-0.02109049,-0.082219705,0.038837828,1.0016844,0.20218915,0.378315,-1.5652716,-0.98373765,-1.7415766,-0.38123167,-0.7774443,-0.6673211,1.1226395,-0.7250656,-0.5966287,-0.41147318,-0.6558908,-1.3395587,-1.494692,0.51980895,-0.49889022,-0.5926826,0.5242044,-0.7433877,-0.6021515,-0.11734168,0.05811473,-0.4036924,-0.1422247,-0.51086223,-0.7985548,-0.21250442,0.34584045,-0.020829313,0.30035758,-0.33189344,-1.5616031,-0.12924062,-0.89522076,-0.28135553,1.3806247,0.83343995,-0.59270626,0.1730876,-0.18639255,-0.04058562,-0.6371809,-0.4224428,-0.04370465,-0.070092864,-0.24908623,-0.56377965,-0.640877,-0.40999112,-1.1046834,1.3528394,-1.025225,-0.38759843,0.8914164,0.2164933,1.8559669,0.6555971,0.6928849,-0.4035463,-1.742086,1.7991594,2.152599,-1.1200981,0.9545513,-1.5192968,-0.31383356,-1.7379954,-1.446035,-2.181944,0.031015486,1.1786879,1.6130718,0.011371256,-0.0424734,1.3710732
19870430,0.3705524,-0.32490087,-1.3935606,0.7514287,-0.19723485,-0.062948026,-1.3137509,-0.04348356,-0.9395034,-0.66404384,-0.18363465,-0.4152144,-0.665278,-0.54300433,-0.056670967,-0.18278806,-0.13264608,0.6689117,0.050481144,0.18276112,-1.2545353,-0.9663416,-1.5486939,-0.438923,-0.7444866,-0.6523801,0.755458,-0.7692097,-0.63122046,-0.19124179,-0.62080115,-1.1857631,-1.3726884,0.3851642,-0.43293804,-0.6576859,0.38037235,-0.68177366,-0.67141837,-0.1582376,0.0068327948,-0.4061569,-0.18185878,-0.5616664,-0.78667283,-0.3612299,0.08320555,-0.16310005,0.024257896,-0.275732,-1.3290877,-0.038644347,-0.7750492,-0.2203447,1.1287125,0.48028848,-0.6002617,-0.03522447,-0.05939124,-0.20664191,-0.63885385,-0.44631037,-0.19621705,-0.15115054,-0.11539526,-0.5707312,-0.6957953,-0.3902647,-0.9882312,1.0065823,-0.92804086,-0.4019112,0.098218106,0.061713032,1.5583984,0.3181822,0.3403191,-0.35965097,-1.5782276,1.2806027,2.0708637,-0.42949313,0.59214574,-1.2508352,-0.21229707,-1.5467517,-1.100505,-1.9103281,0.013092297,0.8349941,1.4588711,-0.15438707,-0.17660548,1.3576849
19870529,0.23414268,-0.30421647,-1.0608549,0.7018157,-0.20537043,-0.022072425,-1.0683768,-0.106885746,-0.80874956,-0.6042736,-0.13765736,-0.39074105,-0.5828388,-0.45575944,-0.03308833,-0.19909123,-0.16760695,0.50886667,0.056700636,0.20161788,-0.97115445,-0.7823702,-1.2574177,-0.3504349,-0.641037,-0.5882325,0.5802284,-0.6462435,-0.56646544,-0.110283405,-0.5551534,-1.0041603,-1.1159278,0.3615549,-0.4310484,-0.54635483,0.30571163,-0.6221854,-0.5390868,-0.1128557,0.0024069417,-0.3963569,-0.13552837,-0.4825325,-0.67418504,-0.32835242,-0.03160842,-0.17456995,-0.05759257,-0.20378843,-1.0958238,0.011085164,-0.65356416,-0.17032738,0.93314177,0.3406545,-0.5450643,0.008634465,0.009373715,-0.255109,-0.53594464,-0.19588566,-0.22365126,-0.25454542,-0.35685974,-0.5150858,-0.6263028,-0.3700312,-0.83188766,0.7304001,-0.7932605,-0.36717114,-0.07637449,-0.015708687,1.2366966,0.14308615,0.15932718,-0.16615088,-1.1526839,0.8077774,1.6291775,-0.37512445,0.23272297,-0.9745199,-0.31774652,-1.1620939,-0.7485502,-1.5141956,0.054378573,0.3668226,1.2677583,-0.16919485,-0.16346273,1.2443767
19870630,0.17360987,-0.22482614,-0.777441,0.5784611,-0.0501736,0.054276768,-0.79319453,-0.101619676,-0.616311,-0.46305117,-0.08264139,-0.30693638,-0.44706777,-0.3694001,-0.0039396044,-0.15051088,-0.14534804,0.36683953,0.085571416,0.17998813,-0.7664774,-0.6076233,-0.9675989,-0.24977815,-0.5031718,-0.46996534,0.4296925,-0.5016749,-0.47220019,0.009081184,-0.44962564,-0.750286,-0.85301083,0.36145929,-0.2847607,-0.39487708,0.24318402,-0.44594944,-0.3931287,-0.075785816,0.036364265,-0.27003273,-0.08416933,-0.3585143,-0.4925842,-0.2806756,-0.051254496,-0.14187537,-0.07937552,-0.08229169,-0.8121901,0.12556976,-0.46712616,-0.035286125,0.7344158,0.3189182,-0.44480506,0.05786171,0.11278462,-0.18530816,-0.38944128,-0.07125059,-0.18399629,-0.14066668,-0.32959515,-0.36001495,-0.50001746,-0.31041634,-0.6123359,0.5215506,-0.59863865,-0.27998614,0.006631193,-0.015515727,1.0003736,0.02453546,0.035123277,-0.058959402,-0.9322252,0.52154446,1.390817,-0.09977785,0.1448601,-0.7482169,-0.21928601,-0.90034574,-0.5215313,-1.1839168,0.08397062,0.24785304,0.8898535,-0.15220606,-0.17187515,1.0096437
19870731,0.06311158,-0.28148243,-0.7441273,0.6544884,0.015502178,0.13039221,-0.84920377,-0.21764226,-0.61033255,-0.5311108,-0.111944735,-0.444232,-0.4610384,-0.41972083,-0.3846596,-0.203358,-0.217846,0.3125875,0.05868063,0.17829545,-0.63503194,-0.68418944,-0.8972965,-0.30267915,-0.5152421,-0.55052334,0.44963753,-0.5614012,-0.53776205,0.049740728,-0.45717433,-0.83721113,-0.89540565,0.34973875,-0.18952762,-0.42830274,0.2114343,-0.42594433,-0.4370149,-0.12646389,0.058165874,-0.3662114,-0.15601017,-0.39080268,-0.57740915,-0.31097212,-0.09008268,-0.15540326,-0.15023321,-0.13121153,-0.83490527,0.13352643,-0.52808595,0.0047810753,0.7365234,0.3172967,-0.50615185,0.034900166,0.14295697,-0.22448842,-0.45742393,-0.27052346,-0.25270152,-0.21742707,-0.39914182,-0.36357746,-0.5417325,-0.32950032,-0.64898,0.48885983,-0.6149401,-0.29435426,0.32532457,-0.07738313,1.0252861,-0.14802924,-0.13976789,-0.14043377,-1.0026463,0.4275909,1.276286,0.22797963,0.044975337,-0.7622431,-0.37148148,-0.9329983,-0.463833,-1.2563303,0.093747966,0.20001744,0.87603897,-0.2694476,-0.30456242,1.0367507
19870831,0.09535196,-0.16437617,-0.48987728,0.48198554,0.07756188,0.15972821,-0.62120974,-0.12630215,-0.44134638,-0.3474297,-0.008021064,-0.31027052,-0.31500039,-0.27234444,-0.2390341,-0.10907753,-0.10286316,0.2630919,0.0827464,0.17249174,-0.41918477,-0.50816435,-0.6698122,-0.1869156,-0.37448865,-0.39223778,0.35342008,-0.39456922,-0.39775845,0.07363318,-0.3206387,-0.58450246,-0.65658957,0.29954466,-0.065369084,-0.26900908,0.18983246,-0.30050513,-0.26459396,-0.04087426,0.08489805,-0.20915458,-0.06413568,-0.24692208,-0.40291,-0.18044204,-0.036702003,-0.060827196,-0.08212035,-0.035030667,-0.6117423,0.13100436,-0.34010553,0.06630137,0.5580312,0.2821164,-0.3477022,0.056512553,0.12912217,-0.12041945,-0.3335323,-0.06980792,-0.14212634,-0.046801597,-0.19046028,-0.091240846,-0.35899514,-0.14997953,-0.3931339,0.36028326,-0.3807658,-0.047556162,0.18198162,0.17934032,0.7848852,-0.1084406,-0.102731675,0.076975554,-0.7869125,0.32261682,1.0133998,-0.06927575,0.1287213,-0.57935,-0.13912308,-0.7210143,-0.37315753,-0.9367592,0.12600802,0.20922512,0.67831904,-0.15256411,-0.18623975,0.8404288
19870930,0.06435435,-0.14003322,-0.43229535,0.47157288,0.057273857,0.15674515,-0.5479823,-0.12352071,-0.3958626,-0.3036589,-0.019505432,-0.28565687,-0.27738062,-0.23600172,-0.18722044,-0.09554719,-0.09620123,0.21484427,0.09840947,0.17341544,-0.38372222,-0.4514263,-0.5908297,-0.14901543,-0.33142057,-0.3439699,0.31326258,-0.35020104,-0.35663155,0.10355314,-0.2785718,-0.49896923,-0.5770697,0.27350864,-0.07145431,-0.23514715,0.17090708,-0.26121706,-0.22834466,-0.045047786,0.06884336,-0.18584216,-0.06889891,-0.21051753,-0.35825896,-0.16331892,-0.034815222,-0.04398483,-0.08546337,-0.024973216,-0.53248453,0.12631166,-0.2869474,0.05109443,0.5025617,0.26946107,-0.30550292,0.08367648,0.14018159,-0.109751254,-0.28259557,-0.039754856,-0.12627268,-0.100212075,-0.15529509,-0.041999407,-0.31599134,-0.12362187,-0.39601684,0.3215726,-0.37884077,-0.109170996,0.17849089,0.22433467,0.63856095,-0.13179442,-0.124143116,0.05704664,-0.67859036,0.24589583,0.85651034,0.052546307,0.048474748,-0.42553714,-0.28401193,-0.6373712,-0.26324418,-0.8208283,0.085282356,0.122887895,0.6660354,-0.15945372,-0.18101959,0.7021169
19871030,-0.097270235,-0.21259499,-0.30133498,0.5754088,0.17730452,0.21664691,-0.52734905,-0.2776893,-0.36131632,-0.27571982,-0.0078657735,-0.35148016,-0.35500407,-0.3120842,-0.20333518,-0.2020861,-0.2451191,-0.04731031,-0.037943676,0.0969674,-0.20718838,-0.50638014,-0.53215367,-0.18786223,-0.38559616,-0.41047934,0.15473606,-0.4408448,-0.4445508,0.2249025,-0.3578403,-0.42832592,-0.5654528,0.17929305,-0.13803986,-0.2615593,0.104119964,-0.25470263,-0.2537757,-0.055882994,0.035372987,-0.20664626,-0.075622775,-0.24886587,-0.33877966,-0.25756234,-0.22105429,-0.12971522,-0.2811617,-0.006016354,-0.50957793,0.13529788,-0.23703079,0.01692585,0.31099537,0.1597845,-0.39156199,0.048163723,0.19263414,-0.24798566,-0.26694068,-0.009345265,-0.29424834,-0.15020494,-0.100488335,-0.03089703,-0.36836478,-0.17162316,-0.44391996,-0.01796253,-0.42032534,-0.18325758,-0.012630343,-0.05161981,0.48336294,-0.50219727,-0.5190894,0.14469442,-0.70917857,-0.2642909,0.64979255,-0.12381739,-0.31097016,-0.44720715,-0.13895984,-0.6263993,-0.23800646,-0.7390891,0.0921062,-0.31149426,0.45111468,-0.3563378,-0.39638075,0.7413119
