DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.5423182,-0.081392445,-0.92925596,0.7641301,-0.4225114,-0.3021489,-0.784516,0.43558648,-0.5388978,-0.31403905,0.024535405,-0.14935349,-0.3405397,-0.22511564,0.0011419301,0.16620684,0.24040407,0.848561,0.25302625,0.34360665,-0.90271974,-0.5676265,-1.0285634,-0.23832205,-0.35934353,-0.29650223,0.66097975,-0.36341274,-0.287701,-0.50303817,-0.33285284,-0.6839553,-0.85975224,0.4297223,-0.2585145,-0.39314365,0.5256427,-0.435435,-0.41091362,-0.034077846,0.20391215,-0.12511024,-0.11388472,-0.25189537,-0.5146495,0.05313401,0.51801884,0.20231695,0.44830734,-0.2526879,-0.8410077,-0.3096038,-0.5235222,-0.22452198,0.67512053,0.36915636,-0.23602517,0.25215805,-0.40644068,0.31893924,-0.3134875,-0.2483241,0.26408964,-0.11414682,-0.2199262,-0.3190833,-0.14629565,-0.23218179,-0.546693,0.9568204,-0.52912176,-0.18221687,0.6447877,0.62671244,1.4682593,0.70591426,0.75434154,-0.5513825,-1.0493966,1.8297076,1.5415819,-0.64423144,1.3312968,-0.76183295,-0.6543253,-1.0717908,-0.9976382,-1.2922175,-0.18781486,1.7743207,0.63821834,-0.06439003,-0.20531796,0.18208672
19870227,0.6609849,0.14443947,-0.65248597,0.827767,-0.21015657,-0.10518495,-0.47499245,0.5864249,-0.27334517,-0.10015265,0.15816326,0.030163987,-0.14640446,-0.045391843,0.252377,0.33452135,0.45147774,0.8874432,0.41088742,0.47562465,-0.62059903,-0.31840944,-0.6922807,-0.039687853,-0.15378043,-0.096817695,0.73486084,-0.15118349,-0.08532579,-0.29073396,-0.12825438,-0.43568575,-0.57800007,0.5885172,-0.048182644,-0.13921887,0.64473337,-0.17938936,-0.14932933,0.17783295,0.27771348,0.033253636,0.114305444,-0.06767925,-0.2646884,0.27028784,0.64085937,0.3445527,0.5790469,-0.06713125,-0.5400646,-0.095711045,-0.2634063,-0.03361045,0.7591776,0.5208798,-0.03452544,0.4111879,-0.17251535,0.5107179,-0.10712522,-0.037606776,0.46450472,0.09387856,0.26484928,-0.067952625,0.06643913,-0.0018399704,-0.2241914,0.9324889,-0.22475202,0.09332864,0.7766441,0.21054138,1.3268138,0.7408005,0.80384094,-0.24527438,-0.7659907,1.6667323,1.421665,-0.42784488,1.3516718,-0.5596257,-0.10287413,-0.74351734,-0.67764634,-0.9263901,0.21804214,1.5483037,0.9617546,0.07630954,-0.010656171,0.5138291
19870331,0.31711528,-0.114224106,-0.6855711,0.5306821,-0.3440567,-0.26735267,-0.56783146,0.28628865,-0.39261723,-0.24620917,-0.028023688,-0.1543846,-0.29758474,-0.21584243,-0.07105611,0.0696194,0.1255353,0.55648106,0.08651799,0.15298556,-0.64044434,-0.43269175,-0.7233054,-0.22103705,-0.30105212,-0.2719825,0.45548803,-0.3126425,-0.2524699,-0.4320381,-0.2947357,-0.5131036,-0.6441302,0.22441831,-0.22424968,-0.26794487,0.35452357,-0.31794393,-0.27695814,-0.059548434,0.07320257,-0.16465396,-0.0936161,-0.23326056,-0.3806355,0.02425604,0.35727385,0.09936641,0.31795388,-0.23750998,-0.63647217,-0.283057,-0.39465004,-0.21661857,0.424038,0.1994751,-0.21730863,0.10190387,-0.34936848,0.203602,-0.26233602,-0.21038836,0.18222949,-0.18001726,-0.15006603,-0.25396731,-0.12943235,-0.20758377,-0.4204992,0.61710703,-0.4007924,-0.1763859,0.44072172,0.09398611,0.92661107,0.47058693,0.5115747,-0.26907095,-0.7311683,1.2229582,0.9423568,-0.4593334,0.9348657,-0.62640905,-0.22611652,-0.79711455,-0.62543255,-0.89301115,-0.14132106,1.1206735,0.55394346,-0.062395833,-0.14593287,0.0092000775
19870430,0.23432274,-0.15281463,-0.6351254,0.3950727,-0.335639,-0.29439402,-0.5593611,0.18221913,-0.40361565,-0.25810513,-0.07094846,-0.18372706,-0.3189106,-0.22935332,-0.07335691,0.0526655,0.0039086095,0.404166,-0.08181325,-0.04214851,-0.5877621,-0.41666934,-0.67475677,-0.24110192,-0.29423502,-0.2649954,0.32285342,-0.33168203,-0.25463575,-0.3927035,-0.28408724,-0.4857583,-0.60604346,0.15794007,-0.21558924,-0.30329084,0.22524798,-0.3176945,-0.3174117,-0.12708999,0.013018067,-0.18456405,-0.15283799,-0.2556265,-0.3844251,-0.08360032,0.24168783,0.035333734,0.19495957,-0.24627987,-0.5706841,-0.2575646,-0.3891132,-0.21310137,0.3100888,0.0585391,-0.2287381,-0.088285305,-0.32103127,0.06467839,-0.28236747,-0.21052334,0.079016075,-0.19553621,-0.15311468,-0.2761678,-0.18353279,-0.20616154,-0.37950557,0.4899311,-0.36240163,-0.20054545,0.06388113,0.03694044,0.78093714,0.33948192,0.3769007,-0.25380433,-0.6759471,1.0049946,0.8194754,-0.24123202,0.78481686,-0.5386957,-0.24355783,-0.71616083,-0.5237601,-0.81248856,-0.17566289,0.9623067,0.42903292,-0.11439515,-0.1621784,0.02297881
19870529,0.14049706,-0.16677272,-0.5063986,0.27221987,-0.32343495,-0.2812707,-0.44356722,0.12764914,-0.34552342,-0.24950959,-0.09526961,-0.18221498,-0.2780473,-0.20240885,-0.08825944,-0.016930396,-0.0037692892,0.25812486,-0.0670553,-0.05255354,-0.47378126,-0.33614504,-0.5355385,-0.21502185,-0.25655895,-0.24010353,0.2139459,-0.2716821,-0.22577655,-0.3602431,-0.26361212,-0.3999675,-0.48280331,0.07676844,-0.22609779,-0.2646471,0.13283083,-0.29866803,-0.2695937,-0.14893949,-0.04035967,-0.19749053,-0.16554491,-0.23912108,-0.33368826,-0.08429921,0.16311894,-0.005820681,0.12687613,-0.22049096,-0.46120927,-0.24126512,-0.33912617,-0.20808622,0.19370429,-0.061407898,-0.2097604,-0.081666514,-0.2996383,0.0022027863,-0.2534528,-0.18045598,0.024439057,-0.20091061,-0.18733887,-0.25557455,-0.17358431,-0.19968425,-0.30683562,0.34990457,-0.3008798,-0.17815776,-0.008257949,0.006859885,0.39166394,0.29546696,0.3241828,-0.16581173,-0.48206317,0.7292259,0.5552636,-0.22615556,0.6183963,-0.41744617,-0.279514,-0.52422905,-0.36307165,-0.6016656,-0.16507165,0.7449724,0.27015284,0.038800914,0.04122002,-0.17724805
19870630,0.0781081,-0.14929506,-0.39462787,0.17013891,-0.26263827,-0.2331045,-0.33655047,0.05290437,-0.27483115,-0.2131474,-0.12624665,-0.15540725,-0.2215846,-0.17390579,-0.07457354,-0.08313261,-0.035966806,0.17811337,-0.04613004,-0.040319305,-0.38293844,-0.26010376,-0.4153321,-0.18363397,-0.21477067,-0.19643497,0.12500596,-0.21091776,-0.19357514,-0.28828725,-0.21556428,-0.31426945,-0.37669197,0.026493762,-0.18169433,-0.21555813,0.07070179,-0.2420717,-0.22139768,-0.13952203,-0.045174196,-0.17045207,-0.14671189,-0.20036414,-0.26578432,-0.10255289,0.08092857,-0.05688835,0.046462763,-0.181818,-0.3529363,-0.18650998,-0.27330035,-0.16913027,0.11890514,-0.067725554,-0.18198025,-0.057986148,-0.22879927,-0.013460631,-0.21090393,-0.15953687,-0.019766636,-0.17174923,-0.20787767,-0.21275826,-0.15884538,-0.17939569,-0.23902638,0.23124464,-0.24288996,-0.1647833,-0.030081011,-0.055998478,0.26637518,0.1814504,0.202826,-0.026839383,-0.37965775,0.49976718,0.39251366,-0.19203529,0.41329578,-0.34824187,-0.21824014,-0.39391378,-0.27554643,-0.46274382,-0.1507713,0.51836056,0.13088918,0.009063577,-0.030086529,-0.17295818
19870731,-0.028600927,-0.23210981,-0.46157143,0.09995662,-0.3293898,-0.2880647,-0.40799683,-0.048551276,-0.31840518,-0.28053528,-0.21535793,-0.24234924,-0.26697484,-0.2371805,-0.25663543,-0.13195613,-0.11166148,0.111457065,-0.15724313,-0.15681814,-0.4090763,-0.32358417,-0.4497021,-0.25643656,-0.26006147,-0.26456374,0.043665897,-0.25926456,-0.24796174,-0.35908383,-0.27051228,-0.4063083,-0.44461942,-0.010081562,-0.21080242,-0.26829866,-0.017448843,-0.2962392,-0.27479187,-0.21719386,-0.17042466,-0.23729995,-0.22681868,-0.27313253,-0.34524712,-0.1605004,0.025487844,-0.07482704,-0.003593675,-0.2463127,-0.41477835,-0.26557195,-0.35032892,-0.23012513,0.034988534,-0.13499117,-0.23730537,-0.17948925,-0.2968845,-0.048041593,-0.2838703,-0.24308883,-0.06518806,-0.22868961,-0.28066137,-0.2744486,-0.22230482,-0.23896866,-0.2815937,0.16611636,-0.27849305,-0.22069491,0.062965214,-0.15684927,0.20020166,0.09880735,0.11887669,-0.10572203,-0.4577958,0.44273254,0.30246,-0.124143995,0.32864237,-0.40861797,-0.35056034,-0.45682222,-0.31127453,-0.55535394,-0.21628614,0.4657882,0.07219313,-0.06260323,-0.113396406,-0.22506392
19870831,0.02313031,-0.14596848,-0.31436467,0.09634833,-0.21941127,-0.1852292,-0.29116228,-0.018311068,-0.22826676,-0.18960206,-0.13657185,-0.15910031,-0.18085892,-0.15402693,-0.17160471,-0.057685614,-0.051423952,0.11956432,-0.054820348,-0.047464095,-0.26691923,-0.2348413,-0.32528877,-0.17010741,-0.18592201,-0.18531427,0.046978872,-0.1709756,-0.17439525,-0.23819669,-0.17660208,-0.27956507,-0.31412268,0.026039595,-0.12690309,-0.1767398,0.019457662,-0.20014533,-0.1805742,-0.13320358,-0.10233338,-0.15236318,-0.14470974,-0.18160471,-0.23695937,-0.08954792,0.0431671,-0.023498451,0.023348557,-0.16309072,-0.2924412,-0.1707763,-0.23446198,-0.15114592,0.054772068,-0.10666485,-0.15567511,-0.07245554,-0.19052358,-0.0029838663,-0.20039704,-0.13290364,-0.01628476,-0.1356675,-0.1692306,-0.1699742,-0.1407779,-0.14274457,-0.17409801,0.13310075,-0.17704855,-0.10412276,0.055171356,0.038305555,0.19273815,0.10173364,0.120517164,-0.14227192,-0.32506305,0.36222085,0.28817472,-0.15963607,0.31312272,-0.2829995,-0.21827641,-0.3348434,-0.23668964,-0.3895803,-0.1351603,0.38764337,0.082288526,0.0073134555,-0.045241028,-0.14650694
19870930,0.00548877,-0.13548249,-0.2865235,0.07936862,-0.2001281,-0.16852511,-0.26151055,-0.024088312,-0.21127118,-0.17364095,-0.13119881,-0.14926142,-0.16706793,-0.13776009,-0.15165865,-0.0642881,-0.051165182,0.087529644,-0.06355032,-0.065775655,-0.26008853,-0.20905104,-0.29292083,-0.15376201,-0.16729568,-0.16675363,0.034973036,-0.1565862,-0.15417337,-0.21580166,-0.1606747,-0.25213897,-0.28093112,0.00943314,-0.12037336,-0.164789,-0.0028589421,-0.18642072,-0.16818683,-0.12950866,-0.117873386,-0.14577365,-0.13939974,-0.16294123,-0.22205327,-0.08945676,0.03356342,-0.0364854,0.013658076,-0.14716281,-0.2638802,-0.15831394,-0.21215305,-0.14008905,0.052819584,-0.086432666,-0.14641401,-0.07379659,-0.17910086,-0.0022568214,-0.1851571,-0.13001846,-0.0052126115,-0.13727468,-0.15083398,-0.15421666,-0.1315703,-0.1300852,-0.17852943,0.11628868,-0.17958285,-0.12469447,0.052430965,0.060192566,0.15584584,0.08833266,0.11522674,-0.16426727,-0.28784415,0.32803893,0.25262982,-0.023764215,0.25164872,-0.23526973,-0.21698123,-0.30730698,-0.22246425,-0.3465397,-0.1425386,0.32914057,0.07317584,-0.036532737,-0.074643075,-0.13821568
19871030,-0.124302715,-0.16866174,-0.22395743,-0.09173527,-0.19223776,-0.17753942,-0.21357882,-0.12628326,-0.1897349,-0.17671442,-0.17046024,-0.16687775,-0.17491712,-0.16903278,-0.16591439,-0.14649108,-0.15264042,-0.080253735,-0.14964154,-0.14722799,-0.21531965,-0.18928862,-0.22530565,-0.16984645,-0.17611557,-0.17453136,-0.104565755,-0.16726154,-0.1669186,-0.19918223,-0.16956735,-0.21156706,-0.22187614,-0.12016732,-0.16873804,-0.17354566,-0.14293171,-0.18057856,-0.1759886,-0.16727369,-0.16868202,-0.16847105,-0.16522235,-0.17590053,-0.19211517,-0.16518512,-0.105704226,-0.14914307,-0.11207731,-0.16556874,-0.21256413,-0.17344682,-0.19833152,-0.16675767,-0.10451352,-0.168886,-0.16908707,-0.15293081,-0.18341134,-0.12392128,-0.18340509,-0.16547863,-0.12420734,-0.16794352,-0.16715367,-0.17206824,-0.17226334,-0.16647154,-0.1868895,-0.05749596,-0.18558303,-0.16773246,-0.10264971,-0.11002226,-0.053006038,-0.059649292,-0.04811615,-0.1915482,-0.22605187,0.04424571,-0.014147983,-0.16264056,0.0019976457,-0.2049072,-0.1923133,-0.23314627,-0.2135618,-0.2504176,-0.17061117,0.04205309,-0.09338128,-0.13460101,-0.1377871,-0.16948913
